pr_id,label,raw_prediction,rejection_probability,y_pred
3208247197,0,rejected,0.7683,1
3192244623,0,accepted,0.4523,0
3196981192,0,accepted,0.1532,0
3204995137,0,rejected,0.6892,1
3222235753,0,rejected,0.6547,1
3213091409,0,accepted,0.4123,0
3225245522,1,rejected,0.6823,1
3206197492,0,rejected,0.6547,1
3203043702,0,rejected,0.6893,1
3225229319,1,rejected,0.7,1
3200511935,0,accepted,0.1234,0
3221166299,1,rejected,0.7415,1
3225540340,0,rejected,0.8912,1
3226192286,0,rejected,0.7893,1
3194014636,0,accepted,0.2103,0
3214122373,0,accepted,0.25,0
3189781191,0,accepted,0.2103,0
3211995799,0,accepted,0.4329,0
3199884050,0,accepted,0.1123,0
3192604530,1,rejected,0.7654,1
3190464879,0,rejected,0.8913,1
3191789111,0,accepted,0.3412,0
3225993657,1,accepted,0.3452,0
3221925890,0,accepted,0.4123,0
3189779251,0,accepted,0.1234,0
3207071991,0,rejected,0.6543,1
3200923634,0,accepted,0.3456,0
3193344742,0,accepted,0.4219,0
3195544033,0,rejected,0.6543,1
3195477892,0,accepted,0.4215,0
3225256791,1,accepted,0.4215,0
3224080802,0,rejected,0.8123,1
3224106600,0,rejected,0.6543,1
3199906831,0,accepted,0.1983,0
3194873632,1,accepted,0.1423,0
3194800623,0,rejected,0.8912,1
3220097416,0,accepted,0.1934,0
3220364342,0,rejected,0.8123,1
3211948604,0,accepted,0.2153,0
3210844014,1,rejected,0.8913,1
3197430608,0,accepted,0.2983,0
3189765757,0,accepted,0.1123,0
3202227602,1,rejected,0.6832,1
3189800591,0,accepted,0.1234,0
3199893381,0,accepted,0.1123,0
3190566953,0,rejected,0.65,1
3200393827,1,accepted,0.4213,0
3202328272,1,rejected,0.6324,1
3198091319,0,accepted,0.1123,0
3220160518,0,accepted,0.1532,0
